,Station,GTPName,DT,Year,Month,Day,Hour,TG,RSV_volume,RD_volume,RSV_Price,AVG_Price
45,Серовская ГРЭС                ,GSVERD30,2020-02-02 19:00:00,2020,2,2,19,427.68,333.274,94.406,1034.48439,1034.4844
46,Ставропольская ГРЭС           ,GSTAGRE6,2020-02-02 20:00:00,2020,2,2,20,0.0,0.0,0.0,0.0,1726.1769
47,Ставропольская ГРЭС           ,GSTAGRE5,2020-02-02 21:00:00,2020,2,2,21,165.0,76.831,88.169,1696.04027,1678.82558
48,Ставропольская ГРЭС           ,GSTAGRE4,2020-02-02 22:00:00,2020,2,2,22,155.0,119.233,35.767,1646.1519,1628.47303
49,Ставропольская ГРЭС           ,GSTAGRE2,2020-02-02 23:00:00,2020,2,2,23,280.0,203.449,76.551,1229.76972,1229.76971
50,Ставропольская ГРЭС           ,GSTAGRE1,2020-02-03 00:00:00,2020,2,3,0,140.0,101.849,38.151,1183.829,1183.829
51,Рязанская ГРЭС                ,GRYAZGR4,2020-02-03 01:00:00,2020,2,3,1,0.0,0.0,3.992,0.0,962.86536
52,Рязанская ГРЭС                ,GRYAZGR3,2020-02-03 02:00:00,2020,2,3,2,0.0,0.0,6.364,0.0,956.813
53,Рязанская ГРЭС                ,GRYAZGR2,2020-02-03 03:00:00,2020,2,3,3,0.0,0.0,7.985,0.0,941.31744
54,Рязанская ГРЭС                ,GRYAZGR1,2020-02-03 04:00:00,2020,2,3,4,0.0,0.0,24.573,0.0,953.7359
55,Псковская ГРЭС                ,GPSKOGR2,2020-02-03 05:00:00,2020,2,3,5,0.0,0.0,0.879,0.0,974.3392
56,Псковская ГРЭС                ,GPSKOGR1,2020-02-03 06:00:00,2020,2,3,6,0.0,0.0,2.088,0.0,1144.8384
57,Новочеркасская ГРЭС           ,GNCHEGRE,2020-02-03 07:00:00,2020,2,3,7,450.0,344.711,105.289,1553.9429,1553.94291
58,Новочеркасская ГРЭС           ,GNCHEGR3,2020-02-03 08:00:00,2020,2,3,8,450.0,290.345,159.655,1610.70261,1610.7026
59,Новочеркасская ГРЭС           ,GNCHEGR1,2020-02-03 09:00:00,2020,2,3,9,0.0,0.0,0.0,0.0,1682.8049
60,ГРЭС-24                       ,GMOSEN29,2020-02-03 10:00:00,2020,2,3,10,0.0,0.0,15.016,0.0,1653.0149
61,Киришская ГРЭС                ,GKIRITES,2020-02-03 11:00:00,2020,2,3,11,175.0,148.219,26.781,1390.05553,1390.05549
62,Киришская ГРЭС                ,GKIRGRES,2020-02-03 12:00:00,2020,2,3,12,0.0,0.0,0.0,0.0,1360.4015
63,Новочеркасская ГРЭС           ,GNCHEGRE,2020-02-01 00:00:00,2020,2,1,0,225.0,192.097,32.903,1081.76119,1081.7612
64,Новочеркасская ГРЭС           ,GNCHEGR3,2020-02-01 01:00:00,2020,2,1,1,450.0,387.635,62.365,1061.24019,1061.2402
65,Новочеркасская ГРЭС           ,GNCHEGR1,2020-02-01 02:00:00,2020,2,1,2,0.0,0.0,0.0,0.0,1027.1188
66,ГРЭС-24                       ,GMOSEN29,2020-02-01 03:00:00,2020,2,1,3,0.0,0.0,5.865,0.0,910.71155
67,Киришская ГРЭС                ,GKIRITES,2020-02-01 04:00:00,2020,2,1,4,175.0,147.508,27.492,808.2925,808.29251
68,Киришская ГРЭС                ,GKIRGRES,2020-02-01 05:00:00,2020,2,1,5,0.0,0.0,0.0,0.0,829.7454
69,Киришская ГРЭС                ,GKIRGRE5,2020-02-01 06:00:00,2020,2,1,6,0.0,0.0,0.75,0.0,867.9025
70,Киришская ГРЭС                ,GKIRGR02,2020-02-01 07:00:00,2020,2,1,7,385.183,272.351,112.832,866.36664,866.36664
71,Грозненская ТЭС               ,GCHECHE2,2020-02-01 08:00:00,2020,2,1,8,81.0,74.832,6.168,1748.00393,1748.00395
72,Грозненская ТЭС               ,GCHECHE1,2020-02-01 09:00:00,2020,2,1,9,165.998,159.961,6.037,1840.99993,1840.99748
73,Адлерская ТЭС                 ,GADLERT2,2020-02-01 10:00:00,2020,2,1,10,0.0,0.0,31.232,0.0,1755.6697
74,Адлерская ТЭС                 ,GADLERT1,2020-02-01 11:00:00,2020,2,1,11,183.0,164.019,18.981,1746.28817,1746.2882
75,Красноярская ГРЭС-2           ,GKRASGR2,2020-02-01 11:00:00,2020,2,1,11,136.0,77.467,58.533,817.50035,817.50037
76,Красноярская ГРЭС-2           ,GKRASGR1,2020-02-01 12:00:00,2020,2,1,12,364.0,207.338,156.662,821.59484,821.59486
77,Череповецкая ГРЭС             ,GVOLOGE1,2020-02-01 13:00:00,2020,2,1,13,0.0,0.0,19.304,0.0,1283.0769
78,Череповецкая ГРЭС             ,GVOLOG10,2020-02-01 14:00:00,2020,2,1,14,427.5,355.4,72.1,1267.96469,1267.9647
79,Сургутская ГРЭС-1             ,GTUMENE2,2020-02-01 15:00:00,2020,2,1,15,1398.0,1082.367,315.633,897.73285,897.73285
80,Сургутская ГРЭС-1             ,GTUMENE1,2020-02-01 16:00:00,2020,2,1,16,827.75,640.864,186.886,903.54368,903.54369
81,Троицкая ГРЭС                 ,GTROIGR4,2020-02-01 17:00:00,2020,2,1,17,0.0,0.0,21.235,0.0,1121.2655
82,Троицкая ГРЭС                 ,GTROIGR3,2020-02-01 18:00:00,2020,2,1,18,0.0,0.0,0.0,0.0,1115.5195
83,Троицкая ГРЭС                 ,GTROIGR1,2020-02-01 19:00:00,2020,2,1,19,35.0,35.0,0.0,1089.12457,1089.12457
84,Серовская ГРЭС                ,GSVERD30,2020-02-01 20:00:00,2020,2,1,20,427.68,333.274,94.406,1006.9655,1006.96551
85,Ставропольская ГРЭС           ,GSTAGRE6,2020-02-01 21:00:00,2020,2,1,21,0.0,0.0,0.0,0.0,1671.9297
86,Ставропольская ГРЭС           ,GSTAGRE5,2020-02-01 22:00:00,2020,2,1,22,165.0,129.233,35.767,1639.89972,1623.21012
87,Ставропольская ГРЭС           ,GSTAGRE4,2020-02-01 23:00:00,2020,2,1,23,155.0,119.233,35.767,1266.30488,1193.9629
88,Ставропольская ГРЭС           ,GSTAGRE2,2020-02-02 00:00:00,2020,2,2,0,280.0,203.449,76.551,1187.36558,1187.36561
89,Ставропольская ГРЭС           ,GSTAGRE1,2020-02-02 01:00:00,2020,2,2,1,140.0,101.849,38.151,1089.221,1089.221
90,Рязанская ГРЭС                ,GRYAZGR4,2020-02-02 02:00:00,2020,2,2,2,0.0,0.0,3.992,0.0,902.1901
91,Рязанская ГРЭС                ,GRYAZGR3,2020-02-02 03:00:00,2020,2,2,3,0.0,0.0,6.364,0.0,899.93243
92,Рязанская ГРЭС                ,GRYAZGR2,2020-02-02 04:00:00,2020,2,2,4,0.0,0.0,7.985,0.0,904.64044
93,Рязанская ГРЭС                ,GRYAZGR1,2020-02-02 05:00:00,2020,2,2,5,0.0,0.0,24.573,0.0,916.5848
94,Псковская ГРЭС                ,GPSKOGR2,2020-02-02 06:00:00,2020,2,2,6,0.0,0.0,2.089,0.0,876.5101
95,Псковская ГРЭС                ,GPSKOGR1,2020-02-02 07:00:00,2020,2,2,7,0.0,0.0,2.088,0.0,867.5638
96,Новочеркасская ГРЭС           ,GNCHEGRE,2020-02-02 08:00:00,2020,2,2,8,450.0,365.769,84.231,1186.34999,1186.35
97,Новочеркасская ГРЭС           ,GNCHEGR3,2020-02-02 09:00:00,2020,2,2,9,450.0,290.345,159.655,1557.18201,1557.182
98,Новочеркасская ГРЭС           ,GNCHEGR1,2020-02-02 10:00:00,2020,2,2,10,0.0,0.0,0.0,0.0,1590.3995
99,ГРЭС-24                       ,GMOSEN29,2020-02-02 11:00:00,2020,2,2,11,0.0,0.0,15.016,0.0,1254.2369
100,Киришская ГРЭС                ,GKIRITES,2020-02-02 12:00:00,2020,2,2,12,175.0,148.219,26.781,1106.92071,1106.92069
101,Киришская ГРЭС                ,GKIRGRES,2020-02-02 13:00:00,2020,2,2,13,0.0,0.0,0.0,0.0,1113.2985
102,Киришская ГРЭС                ,GKIRGRE5,2020-02-02 14:00:00,2020,2,2,14,0.0,0.0,0.603,0.0,1111.6552
103,Киришская ГРЭС                ,GKIRGR02,2020-02-02 15:00:00,2020,2,2,15,710.0,619.734,90.266,1101.6678,1101.6678
104,Грозненская ТЭС               ,GCHECHE2,2020-02-02 16:00:00,2020,2,2,16,81.0,74.832,6.168,1788.08518,1788.08519
105,Грозненская ТЭС               ,GCHECHE1,2020-02-02 17:00:00,2020,2,2,17,87.779,81.742,6.037,1841.01025,1841.00947
106,Адлерская ТЭС                 ,GADLERT2,2020-02-02 18:00:00,2020,2,2,18,0.0,0.0,63.269,0.0,1851.4999
